timestamp,left_ear,right_ear,avg_ear,mouth_ratio,closed_eye_frames,open_mouth_frames,status
1777209566.947489,0.5056788621879713,0.4844609939124751,0.4950699280502232,0.0861079894880085,0,0,AWAKE
1777209567.1098719,0.4991432836082952,0.4912349121249495,0.49518909786662235,0.22522214867522394,0,1,AWAKE
1777209567.1607733,0.48565893927219944,0.48377993636002037,0.48471943781610993,0.10606834439583106,0,0,AWAKE
1777209567.2107968,0.4937620965329361,0.48519178473888064,0.4894769406359084,0.08974457482536218,0,0,AWAKE
1777209567.2524626,0.4909606872022043,0.4904342846029419,0.4906974859025731,0.048930153103492476,0,0,AWAKE
1777209567.29071,0.49490529898457297,0.4984495035369024,0.49667740126073767,0.1864983726388404,0,1,AWAKE
1777209567.3356562,0.4852809376424723,0.4950868036530317,0.49018387064775204,0.17225803984978266,0,2,AWAKE
1777209567.3713346,0.4967127233500635,0.4971880139748298,0.4969503686624467,0.08623068294126858,0,0,AWAKE
1777209567.4014783,0.4878361330299096,0.4898459122582761,0.48884102264409285,0.17576390081015453,0,1,AWAKE
1777209567.484313,0.49468418381129303,0.49177540778470136,0.4932297957979972,0.16408865960653102,0,2,AWAKE
1777209567.539904,0.4557511859531048,0.45568214558483466,0.45571666576896974,0.11372441033766946,0,0,AWAKE
1777209567.5785549,0.4571337609979025,0.46277579042843126,0.4599547757131669,0.16659482789371932,0,1,AWAKE
1777209567.607712,0.4455922915163543,0.44755496501334024,0.44657362826484726,0.14637085941086628,0,0,AWAKE
1777209567.6383886,0.45369556457057447,0.45182146870753825,0.45275851663905636,0.17402683841673902,0,1,AWAKE
1777209567.688234,0.45965822400491835,0.4539932566454268,0.45682574032517254,0.08702708072277385,0,0,AWAKE
1777209567.735266,0.4823130633008094,0.46422345488470645,0.47326825909275794,0.06750530384526292,0,0,AWAKE
1777209567.8297584,0.4681865011503015,0.4647506528480203,0.4664685769991609,0.12918540745558807,0,0,AWAKE
1777209567.9124508,0.4585700203896655,0.4592156855536322,0.45889285297164883,0.12622426962652805,0,0,AWAKE
1777209568.0015175,0.47756375687990255,0.4648234637645318,0.4711936103222172,0.14723287311409336,0,0,AWAKE
1777209568.0815518,0.458112383212463,0.4689551523133573,0.46353376776291016,0.12819532872566297,0,0,AWAKE
1777209568.1782677,0.46340626574007643,0.458379291546496,0.4608927786432862,0.11538197071310982,0,0,AWAKE
1777209568.2622068,0.4639205184351976,0.4593354667254015,0.4616279925802995,0.08690563714653901,0,0,AWAKE
1777209568.3501232,0.4546734712120419,0.4564454410650134,0.45555945613852766,0.16726999340570867,0,1,AWAKE
1777209568.4280365,0.4524966985280957,0.45603848982541745,0.45426759417675655,0.08847351335957705,0,0,AWAKE
1777209568.5158117,0.45332356442291616,0.46034191236552374,0.45683273839421995,0.1705955178024809,0,1,AWAKE
1777209568.599079,0.4490015360086072,0.45189739658833983,0.4504494662984735,0.07224054272532636,0,0,AWAKE
1777209568.686994,0.44419966626521523,0.4307825759443807,0.43749112110479793,0.14238868310783315,0,0,AWAKE
1777209568.7644732,0.4522770387622187,0.4328468695815453,0.442561954171882,0.021954554989630844,0,0,AWAKE
1777209568.8427365,0.45966008787111257,0.4493552436043218,0.45450766573771717,0.12130602014156658,0,0,AWAKE
1777209568.9221208,0.46746088538120356,0.4456531623625682,0.4565570238718859,0.19783041524717704,0,1,AWAKE
1777209569.0095153,0.45898167677866736,0.43267632701315295,0.4458290018959101,0.08272383935088305,0,0,AWAKE
1777209569.0948017,0.45995186281124373,0.4501747663927797,0.4550633146020117,0.06458814759194943,0,0,AWAKE
1777209569.1744676,0.4278703559248967,0.429012559075213,0.42844145750005486,0.07004085321131326,0,0,AWAKE
1777209569.2546594,0.46626771464500205,0.44119632251730007,0.4537320185811511,0.19470656923475393,0,1,AWAKE
1777209569.3322568,0.4835638816964568,0.4516710752304132,0.46761747846343504,0.10355502077020211,0,0,AWAKE
1777209569.4130158,0.47989674983609304,0.4638678511396231,0.47188230048785806,0.06593497968199293,0,0,AWAKE
1777209569.5221431,0.48111858868409335,0.46855532753419427,0.47483695810914384,0.10924934360070565,0,0,AWAKE
1777209569.5701225,0.47688948483571436,0.4672720814428618,0.4720807831392881,0.07262038674897477,0,0,AWAKE
1777209569.613571,0.47023697013551047,0.46222476252618555,0.466230866330848,0.09998454867827929,0,0,AWAKE
1777209569.6598277,0.4569421911744297,0.4558487368237947,0.4563954639991122,0.0626744623446439,0,0,AWAKE
1777209569.705009,0.4570005946094532,0.45497529920359797,0.45598794690652555,0.06151446368527865,0,0,AWAKE
1777209569.7544177,0.48757260429875054,0.4735806355128571,0.4805766199058038,0.10724095574537133,0,0,AWAKE
1777209569.7989843,0.48488529382061335,0.46715646784727405,0.47602088083394367,0.11466447036403736,0,0,AWAKE
1777209569.8416317,0.4807084274992533,0.472494474327202,0.47660145091322764,0.11223815512748542,0,0,AWAKE
1777209569.8835669,0.46608792608082716,0.4606060794886156,0.4633470027847214,0.1316824145035251,0,0,AWAKE
1777209569.923334,0.464787340763396,0.4590475622846962,0.46191745152404606,0.1212126852600344,0,0,AWAKE
1777209569.9563978,0.444674369376653,0.45050373229423535,0.4475890508354442,0.11085535679533837,0,0,AWAKE
1777209569.9919279,0.45822182338754575,0.45793677100471614,0.45807929719613094,0.11678495343301479,0,0,AWAKE
1777209570.0327842,0.4691743430394967,0.4692019400931891,0.4691881415663429,0.10872009242253615,0,0,AWAKE
1777209570.074038,0.45799578147800807,0.465981402927631,0.4619885922028195,0.15569116729225527,0,0,AWAKE
1777209570.1145349,0.4609560203805383,0.47575272281285685,0.46835437159669757,0.09562024064026955,0,0,AWAKE
1777209570.150578,0.45649763924794884,0.45892154314540906,0.457709591196679,0.12777696189960064,0,0,AWAKE
1777209570.187511,0.45954861716717543,0.47155936206306354,0.4655539896151195,0.1309402357502668,0,0,AWAKE
1777209570.2247152,0.4571972179291116,0.4709720578485825,0.464084637888847,0.11110803617829408,0,0,AWAKE
1777209570.261514,0.44298583415349907,0.44834601491703563,0.4456659245352673,0.07868940877301497,0,0,AWAKE
1777209570.295864,0.44626166588981236,0.45666302258093083,0.45146234423537157,0.08860264203171672,0,0,AWAKE
1777209570.3306332,0.4580203844157925,0.4621443623383493,0.4600823733770709,0.04400252146157374,0,0,AWAKE
1777209570.3675685,0.45030988687844103,0.4621485348898134,0.4562292108841272,0.10174379770755258,0,0,AWAKE
1777209570.406225,0.43984488271900185,0.4496862034128344,0.4447655430659181,0.07376035923510817,0,0,AWAKE
1777209570.4477353,0.4616504033099147,0.47369127926448124,0.46767084128719794,0.08526408699692734,0,0,AWAKE
1777209570.4920058,0.44778402758612196,0.45454727451416743,0.4511656510501447,0.09773058722724245,0,0,AWAKE
1777209570.56504,0.46119121490296316,0.4683881877986563,0.46478970135080977,0.08434219985313106,0,0,AWAKE
1777209570.6487322,0.4522874751746639,0.4637702319531281,0.458028853563896,0.11273392579584138,0,0,AWAKE
1777209570.7330227,0.4587059285185235,0.4591671409238896,0.45893653472120655,0.23897502384845112,0,1,AWAKE
1777209570.8087826,0.44766623268279826,0.45668075529874197,0.4521734939907701,0.5055277345403215,0,2,AWAKE
1777209570.8913682,0.43725819766163615,0.44609798943767215,0.44167809354965415,0.8548297228118974,0,3,AWAKE
1777209570.9838898,0.4235190517818699,0.4266672926345945,0.4250931722082322,0.8994254138440713,0,4,AWAKE
1777209571.0704896,0.434469511322609,0.4395374444526424,0.4370034778876257,0.9055249444528494,0,5,AWAKE
1777209571.153895,0.42544158239878904,0.43716055571274054,0.4313010690557648,0.8501443404370139,0,6,AWAKE
